Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Thoughtblab,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),John Smith,4/20/2024,SAAS,Churned Customer,7,,,833,3/30/1900,8/7/2024,6/27/2024
Jaxnation,Spain,40.416775,-3.703790,Energy & Utilities,Small (11-200),Emily Johnson,5/28/2024,SAAS,Churned Customer,7,,,1623,1/29/1900,10/25/2024,9/11/2024
Mybuzz,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,3/17/2024,SAAS,Churned Customer,7,,,1928,1/19/1900,3/17/2025,5/11/2024
Kare,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,1/18/2024,SAAS,Churned Customer,7,,,303,2/18/1900,8/7/2024,5/6/2024
Skaboo,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Michael Brown,4/6/2024,SAAS,Churned Customer,7,,,1911,1/29/1900,10/11/2024,7/25/2024
Flashset,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,2/21/2024,Custom solution,Churned Customer,7,,,455,1/19/1900,9/23/2024,5/11/2024
Yozio,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,2/13/2024,SAAS,Churned Customer,7,,,351,1/29/1900,3/18/2024,4/17/2024
Tanoodle,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,1/15/2024,Custom solution,Churned Customer,7,,,230,3/10/1900,5/17/2024,5/11/2024
"Reilly, Wisozk and Stamm",France,48.864716,2.349014,Retail & Distribution,Small (11-200),Michael Brown,3/9/2024,SAAS,Churned Customer,7,,,1697,3/20/1900,7/25/2024,6/30/2024
O'Conner-Sawayn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,4/1/2024,Services,Churned Customer,7,,,320,2/28/1900,5/24/2024,7/1/2024
Klocko-Sporer,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,2/12/2024,Custom solution,Churned Customer,7,,,721,1/19/1900,1/10/2025,3/31/2024
Borer Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,2/29/2024,Services,Churned Customer,7,,,768,3/20/1900,8/18/2024,6/15/2024
"Jacobson, Crist and O'Kon",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,4/11/2024,SAAS,Churned Customer,7,,,741,2/8/1900,9/19/2024,5/13/2024
Hickle Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,1/23/2024,SAAS,Churned Customer,7,,,668,3/10/1900,10/24/2024,4/19/2024
"Zulauf, Osinski and Lakin",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,3/10/2024,Custom solution,Churned Customer,7,,,406,1/29/1900,5/24/2024,5/6/2024
"Cruickshank, Lubowitz and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,4/12/2024,Services,Churned Customer,7,,,1686,2/8/1900,5/6/2024,4/25/2024
